 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C02.038B	14R0328A	14R0328A	1	2	A1	2	REFT2B	0	2																																																																																																																																																										
C17.061B	14R0328A	14R0328A	3	2	A1	17	REFT2B	2	2																																																																																																																																																										
C17.062B	14R0328A	14R0328A	4	2	A1	17	REFT2B	3	2																																																																																																																																																										
C12.035B	14R0328A	14R0328A	1	2	A1	12	REFT2B	4	2																																																																																																																																																										
C12.036B	14R0328A	14R0328A	2	2	A1	12	REFT2B	5	2																																																																																																																																																										
C01.067B	14R0328A	14R0328A	3	2	A1	1	REFT2B	6	2																																																																																																																																																										
C01.014B	14R0328A	14R0328A	4	2	A1	1	REFT2B	7	2																																																																																																																																																										
C23.033B	14R0328A	14R0328A	1	2	A1	23	REFT2B	8	2																																																																																																																																																										
C21.014B	14R0328A	14R0328A	2	2	A1	21	REFT2B	9	2																																																																																																																																																										
C08.034B	14R0328A	14R0328A	3	2	A1	8	REFT2B	10	2																																																																																																																																																										
C02.085B	14R0328A	14R0328A	4	2	A1	2	REFT2B	11	2																																																																																																																																																										
C05.054B	14R0328A	14R0328A	1	2	A1	5	REFT2B	12	2																																																																																																																																																										
C14.007B	14R0328A	14R0328A	2	2	A1	14	REFT2B	13	2																																																																																																																																																										
C23.035B	14R0328A	14R0328A	3	2	A1	23	REFT2B	14	2																																																																																																																																																										
C10.029B	14R0328A	14R0328A	4	2	A1	10	REFT2B	15	2																																																																																																																																																										
C08.065B	14R0328A	14R0328A	1	2	A1	8	REFT2B	16	2																																																																																																																																																										
C17.060B	14R0328A	14R0328A	2	2	A1	17	REFT2B	17	2																																																																																																																																																										
C02.041B	14R0328A	14R0328A	3	2	A1	2	REFT2B	18	2																																																																																																																																																										
C05.018B	14R0328A	14R0328A	4	2	A1	5	REFT2B	19	2																																																																																																																																																										
C10.012B	14R0328A	14R0328A	1	2	A1	10	REFT2B	20	2																																																																																																																																																										
C01.011B	14R0328A	14R0328A	2	2	A1	1	REFT2B	21	2																																																																																																																																																										
C03.045B	14R0328A	14R0328A	3	2	A1	3	REFT2B	22	2																																																																																																																																																										
C05.057B	14R0328A	14R0328A	4	2	A1	5	REFT2B	23	2																																																																																																																																																										
C21.013B	14R0328A	14R0328A	1	2	A1	21	REFT2B	24	2																																																																																																																																																										
C01.066B	14R0328A	14R0328A	2	2	A1	1	REFT2B	25	2																																																																																																																																																										
C08.035B	14R0328A	14R0328A	4	2	A1	8	REFT2B	27	2																																																																																																																																																										
C08.032B	14R0328A	14R0328A	1	2	A1	8	REFT2B	28	2																																																																																																																																																										
C02.039B	14R0328A	14R0328A	2	2	A1	2	REFT2B	29	2																																																																																																																																																										
C12.037B	14R0328A	14R0328A	3	2	A1	12	REFT2B	30	2																																																																																																																																																										
C16.010B	14R0328A	14R0328A	1	2	A1	16	REFT2B	32	2																																																																																																																																																										
C02.083B	14R0328A	14R0328A	2	2	A1	2	REFT2B	33	2																																																																																																																																																										
C16.012B	14R0328A	14R0328A	3	2	A1	16	REFT2B	34	2																																																																																																																																																										
C01.068B	14R0328A	14R0328A	4	2	A1	1	REFT2B	35	2																																																																																																																																																										
C17.035B	14R0328A	14R0328A	1	2	A1	17	REFT2B	36	2																																																																																																																																																										
C08.033B	14R0328A	14R0328A	2	2	A1	8	REFT2B	37	2																																																																																																																																																										
C21.015B	14R0328A	14R0328A	3	2	A1	21	REFT2B	38	2																																																																																																																																																										
C16.017B	14R0328A	14R0328A	4	2	A1	16	REFT2B	39	2																																																																																																																																																										
C02.082B	14R0328A	14R0328A	1	2	A1	2	REFT2B	40	2																																																																																																																																																										
C10.027B	14R0328A	14R0328A	2	2	A1	10	REFT2B	41	2																																																																																																																																																										
C02.084B	14R0328A	14R0328A	3	2	A1	2	REFT2B	42	2																																																																																																																																																										
C23.097B	14R0328A	14R0328A	4	2	A1	23	REFT2B	43	2																																																																																																																																																										
C13.026B	14R0328A	14R0328A	1	2	A1	13	REFT2B	44	2																																																																																																																																																										
C05.055B	14R0328A	14R0328A	2	2	A1	5	REFT2B	45	2																																																																																																																																																										
C05.017B	14R0328A	14R0328A	3	2	A1	5	REFT2B	46	2																																																																																																																																																										
C02.042B	14R0328A	14R0328A	4	2	A1	2	REFT2B	47	2																																																																																																																																																										
C01.010B	14R0328A	14R0328A	1	2	A1	1	REFT2B	48	2																																																																																																																																																										
C16.011B	14R0328A	14R0328A	2	2	A1	16	REFT2B	49	2																																																																																																																																																										
C11.034B	14R0328A	14R0328A	3	2	A1	11	REFT2B	50	2																																																																																																																																																										
C20.010B	14R0328A	14R0328A	4	2	A1	20	REFT2B	51	2																																																																																																																																																										
C03.040B	14R0328A	14R0328A	1	2	A1	3	REFT2B	52	2																																																																																																																																																										
C23.034B	14R0328A	14R0328A	2	2	A1	23	REFT2B	53	2																																																																																																																																																										
C05.056B	14R0328A	14R0328A	3	2	A1	5	REFT2B	54	2																																																																																																																																																										
C14.009B	14R0328A	14R0328A	4	2	A1	14	REFT2B	55	2																																																																																																																																																										
C04.051B	14R0328A	14R0328A	1	2	A1	4	REFT2B	56	2																																																																																																																																																										
C03.041B	14R0328A	14R0328A	2	2	A1	3	REFT2B	57	2																																																																																																																																																										
C07.017B	14R0328A	14R0328A	3	2	A1	7	REFT2B	58	2																																																																																																																																																										
C22.023B	14R0328A	14R0328A	4	2	A1	22	REFT2B	59	2																																																																																																																																																										
C07.015B	14R0328A	14R0328A	1	2	A1	7	REFT2B	60	2																																																																																																																																																										
C11.033B	14R0328A	14R0328A	2	2	A1	11	REFT2B	61	2																																																																																																																																																										
C14.008B	14R0328A	14R0328A	3	2	A1	14	REFT2B	62	2																																																																																																																																																										
C07.018B	14R0328A	14R0328A	4	2	A1	7	REFT2B	63	2																																																																																																																																																										
C23.094B	14R0328A	14R0328A	1	2	A1	23	REFT2B	64	2																																																																																																																																																										
C19.030B	14R0328A	14R0328A	2	2	A1	19	REFT2B	65	2																																																																																																																																																										
C10.028B	14R0328A	14R0328A	3	2	A1	10	REFT2B	66	2																																																																																																																																																										
C03.046B	14R0328A	14R0328A	4	2	A1	3	REFT2B	67	2																																																																																																																																																										
C19.029B	14R0328A	14R0328A	1	2	A1	19	REFT2B	68	2																																																																																																																																																										
C23.095B	14R0328A	14R0328A	2	2	A1	23	REFT2B	69	2																																																																																																																																																										
C20.009B	14R0328A	14R0328A	3	2	A1	20	REFT2B	70	2																																																																																																																																																										
C11.035B	14R0328A	14R0328A	4	2	A1	11	REFT2B	71	2																																																																																																																																																										
C01.065B	14R0328A	14R0328A	1	2	A1	1	REFT2B	72	2																																																																																																																																																										
C05.016B	14R0328A	14R0328A	2	2	A1	5	REFT2B	73	2																																																																																																																																																										
C01.012B	14R0328A	14R0328A	3	2	A1	1	REFT2B	74	2																																																																																																																																																										
C12.038B	14R0328A	14R0328A	4	2	A1	12	REFT2B	75	2																																																																																																																																																										
C11.032B	14R0328A	14R0328A	1	2	A1	11	REFT2B	76	2																																																																																																																																																										
C07.016B	14R0328A	14R0328A	2	2	A1	7	REFT2B	77	2																																																																																																																																																										
C23.096B	14R0328A	14R0328A	3	2	A1	23	REFT2B	78	2																																																																																																																																																										
C23.036B	14R0328A	14R0328A	4	2	A1	23	REFT2B	79	2																																																																																																																																																										
C01.034B	14R0328A	14R0328A	5	2	A2	1	REFT2B	80	2																																																																																																																																																										
C16.068B	14R0328A	14R0328A	6	2	A2	16	REFT2B	81	2																																																																																																																																																										
C23.061B	14R0328A	14R0328A	7	2	A2	23	REFT2B	82	2																																																																																																																																																										
C09.029B	14R0328A	14R0328A	8	2	A2	9	REFT2B	83	2																																																																																																																																																										
C06.024B	14R0328A	14R0328A	5	2	A2	6	REFT2B	84	2																																																																																																																																																										
C01.035B	14R0328A	14R0328A	6	2	A2	1	REFT2B	85	2																																																																																																																																																										
C09.027B	14R0328A	14R0328A	7	2	A2	9	REFT2B	86	2																																																																																																																																																										
C01.037B	14R0328A	14R0328A	8	2	A2	1	REFT2B	87	2																																																																																																																																																										
C20.025B	14R0328A	14R0328A	5	2	A2	20	REFT2B	88	2																																																																																																																																																										
C12.016B	14R0328A	14R0328A	6	2	A2	12	REFT2B	89	2																																																																																																																																																										
C03.015B	14R0328A	14R0328A	7	2	A2	3	REFT2B	90	2																																																																																																																																																										
C20.028B	14R0328A	14R0328A	8	2	A2	20	REFT2B	91	2																																																																																																																																																										
