 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C20.011B	14R0328A	14R0328A	1	2	B1	20	REFT2B	0	2																																																																																																																																																										
C01.060B	14R0328A	14R0328A	2	2	B1	1	REFT2B	2	2																																																																																																																																																										
C24.002B	14R0328A	14R0328A	3	2	B1	24	REFT2B	3	2																																																																																																																																																										
C12.041B	14R0328A	14R0328A	4	2	B1	12	REFT2B	4	2																																																																																																																																																										
C12.039B	14R0328A	14R0328A	1	2	B1	12	REFT2B	5	2																																																																																																																																																										
C05.053B	14R0328A	14R0328A	2	2	B1	5	REFT2B	6	2																																																																																																																																																										
C01.070B	14R0328A	14R0328A	3	2	B1	1	REFT2B	7	2																																																																																																																																																										
C14.014B	14R0328A	14R0328A	4	2	B1	14	REFT2B	8	2																																																																																																																																																										
C01.016B	14R0328A	14R0328A	1	2	B1	1	REFT2B	9	2																																																																																																																																																										
C12.034B	14R0328A	14R0328A	2	2	B1	12	REFT2B	10	2																																																																																																																																																										
C03.048B	14R0328A	14R0328A	3	2	B1	3	REFT2B	11	2																																																																																																																																																										
C11.038B	14R0328A	14R0328A	4	2	B1	11	REFT2B	12	2																																																																																																																																																										
C14.010B	14R0328A	14R0328A	1	2	B1	14	REFT2B	13	2																																																																																																																																																										
C04.050B	14R0328A	14R0328A	2	2	B1	4	REFT2B	14	2																																																																																																																																																										
C01.023B	14R0328A	14R0328A	3	2	B1	1	REFT2B	15	2																																																																																																																																																										
C01.024B	14R0328A	14R0328A	4	2	B1	1	REFT2B	16	2																																																																																																																																																										
C02.043B	14R0328A	14R0328A	1	2	B1	2	REFT2B	17	2																																																																																																																																																										
C02.081B	14R0328A	14R0328A	2	2	B1	2	REFT2B	18	2																																																																																																																																																										
C08.037B	14R0328A	14R0328A	3	2	B1	8	REFT2B	19	2																																																																																																																																																										
C02.049B	14R0328A	14R0328A	4	2	B1	2	REFT2B	20	2																																																																																																																																																										
C06.011B	14R0328A	14R0328A	1	2	B1	6	REFT2B	21	2																																																																																																																																																										
C11.031B	14R0328A	14R0328A	2	2	B1	11	REFT2B	22	2																																																																																																																																																										
C12.040B	14R0328A	14R0328A	3	2	B1	12	REFT2B	23	2																																																																																																																																																										
C02.093B	14R0328A	14R0328A	4	2	B1	2	REFT2B	24	2																																																																																																																																																										
C11.036B	14R0328A	14R0328A	1	2	B1	11	REFT2B	25	2																																																																																																																																																										
C17.034B	14R0328A	14R0328A	2	2	B1	17	REFT2B	27	2																																																																																																																																																										
C05.020B	14R0328A	14R0328A	3	2	B1	5	REFT2B	28	2																																																																																																																																																										
C03.049B	14R0328A	14R0328A	4	2	B1	3	REFT2B	29	2																																																																																																																																																										
C17.063B	14R0328A	14R0328A	1	2	B1	17	REFT2B	30	2																																																																																																																																																										
C07.014B	14R0328A	14R0328A	2	2	B1	7	REFT2B	32	2																																																																																																																																																										
C10.031B	14R0328A	14R0328A	3	2	B1	10	REFT2B	33	2																																																																																																																																																										
C07.028B	14R0328A	14R0328A	4	2	B1	7	REFT2B	34	2																																																																																																																																																										
C07.026B	14R0328A	14R0328A	1	2	B1	7	REFT2B	35	2																																																																																																																																																										
C01.009B	14R0328A	14R0328A	2	2	B1	1	REFT2B	36	2																																																																																																																																																										
C14.011B	14R0328A	14R0328A	3	2	B1	14	REFT2B	37	2																																																																																																																																																										
C10.030B	14R0328A	14R0328A	1	2	B1	10	REFT2B	39	2																																																																																																																																																										
C02.037B	14R0328A	14R0328A	2	2	B1	2	REFT2B	40	2																																																																																																																																																										
C22.025B	14R0328A	14R0328A	3	2	B1	22	REFT2B	41	2																																																																																																																																																										
C16.020B	14R0328A	14R0328A	4	2	B1	16	REFT2B	42	2																																																																																																																																																										
C24.001B	14R0328A	14R0328A	1	2	B1	24	REFT2B	43	2																																																																																																																																																										
C08.031B	14R0328A	14R0328A	2	2	B1	8	REFT2B	44	2																																																																																																																																																										
C20.012B	14R0328A	14R0328A	3	2	B1	20	REFT2B	45	2																																																																																																																																																										
C18.019B	14R0328A	14R0328A	4	2	B1	18	REFT2B	46	2																																																																																																																																																										
C02.091B	14R0328A	14R0328A	1	2	B1	2	REFT2B	47	2																																																																																																																																																										
C19.028B	14R0328A	14R0328A	2	2	B1	19	REFT2B	48	2																																																																																																																																																										
C23.038B	14R0328A	14R0328A	3	2	B1	23	REFT2B	49	2																																																																																																																																																										
C23.039B	14R0328A	14R0328A	4	2	B1	23	REFT2B	50	2																																																																																																																																																										
