 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																											
C04.005B	14R0328A	14R0328A	1	2	C1	4	REFT2B	0	2																																																																																																																																																											
C05.026B	14R0328A	14R0328A	2	2	C1	5	REFT2B	1	2																																																																																																																																																											
C02.097B	14R0328A	14R0328A	3	2	C1	2	REFT2B	2	2																																																																																																																																																											
C06.018B	14R0328A	14R0328A	4	2	C1	6	REFT2B	3	2																																																																																																																																																											
C01.073B	14R0328A	14R0328A	1	2	C1	1	REFT2B	4	2																																																																																																																																																											
C14.017B	14R0328A	14R0328A	2	2	C1	14	REFT2B	5	2																																																																																																																																																											
C06.017B	14R0328A	14R0328A	3	2	C1	6	REFT2B	6	2																																																																																																																																																											
C01.076B	14R0328A	14R0328A	4	2	C1	1	REFT2B	7	2																																																																																																																																																											
C05.025B	14R0328A	14R0328A	1	2	C1	5	REFT2B	8	2																																																																																																																																																											
C13.003B	14R0328A	14R0328A	2	2	C1	13	REFT2B	9	2																																																																																																																																																											
C05.027B	14R0328A	14R0328A	3	2	C1	5	REFT2B	10	2																																																																																																																																																											
C13.005B	14R0328A	14R0328A	4	2	C1	13	REFT2B	11	2																																																																																																																																																											
C09.018B	14R0328A	14R0328A	1	2	C1	9	REFT2B	12	2																																																																																																																																																											
C23.042B	14R0328A	14R0328A	2	2	C1	23	REFT2B	13	2																																																																																																																																																											
C08.042B	14R0328A	14R0328A	3	2	C1	8	REFT2B	14	2																																																																																																																																																											
C16.062B	14R0328A	14R0328A	4	2	C1	16	REFT2B	15	2																																																																																																																																																											
C16.050B	14R0328A	14R0328A	1	2	C1	16	REFT2B	16	2																																																																																																																																																											
C01.027B	14R0328A	14R0328A	2	2	C1	1	REFT2B	17	2																																																																																																																																																											
C02.053B	14R0328A	14R0328A	3	2	C1	2	REFT2B	18	2																																																																																																																																																											
C01.030B	14R0328A	14R0328A	4	2	C1	1	REFT2B	19	2																																																																																																																																																											
C22.029B	14R0328A	14R0328A	1	2	C1	22	REFT2B	20	2																																																																																																																																																											
C01.074B	14R0328A	14R0328A	2	2	C1	1	REFT2B	21	2																																																																																																																																																											
C07.042B	14R0328A	14R0328A	3	2	C1	7	REFT2B	22	2																																																																																																																																																											
C07.043B	14R0328A	14R0328A	4	2	C1	7	REFT2B	23	2																																																																																																																																																											
C02.051B	14R0328A	14R0328A	1	2	C1	2	REFT2B	24	2																																																																																																																																																											
C04.006B	14R0328A	14R0328A	2	2	C1	4	REFT2B	25	2																																																																																																																																																											
C10.036B	14R0328A	14R0328A	3	2	C1	10	REFT2B	26	2																																																																																																																																																											
C02.095B	14R0328A	14R0328A	1	2	C1	2	REFT2B	28	2																																																																																																																																																											
C18.022B	14R0328A	14R0328A	2	2	C1	18	REFT2B	29	2																																																																																																																																																											
C16.061B	14R0328A	14R0328A	3	2	C1	16	REFT2B	30	2																																																																																																																																																											
C18.024B	14R0328A	14R0328A	4	2	C1	18	REFT2B	31	2																																																																																																																																																											
C11.040B	14R0328A	14R0328A	1	2	C1	11	REFT2B	32	2																																																																																																																																																											
C02.096B	14R0328A	14R0328A	2	2	C1	2	REFT2B	33	2																																																																																																																																																											
C20.019B	14R0328A	14R0328A	3	2	C1	20	REFT2B	34	2																																																																																																																																																											
C23.044B	14R0328A	14R0328A	4	2	C1	23	REFT2B	35	2																																																																																																																																																											
C13.002B	14R0328A	14R0328A	1	2	C1	13	REFT2B	36	2																																																																																																																																																											
C08.041B	14R0328A	14R0328A	2	2	C1	8	REFT2B	37	2																																																																																																																																																											
C01.029B	14R0328A	14R0328A	3	2	C1	1	REFT2B	38	2																																																																																																																																																											
C04.021B	14R0328A	14R0328A	4	2	C1	4	REFT2B	39	2																																																																																																																																																											
C14.016B	14R0328A	14R0328A	1	2	C1	14	REFT2B	40	2																																																																																																																																																											
C22.032B	14R0328A	14R0328A	2	2	C1	22	REFT2B	41	2																																																																																																																																																											
C08.043B	14R0328A	14R0328A	4	2	C1	8	REFT2B	43	2																																																																																																																																																											
C01.026B	14R0328A	14R0328A	1	2	C1	1	REFT2B	44	2																																																																																																																																																											
C11.041B	14R0328A	14R0328A	2	2	C1	11	REFT2B	45	2																																																																																																																																																											
C13.004B	14R0328A	14R0328A	3	2	C1	13	REFT2B	46	2																																																																																																																																																											
C11.001B	14R0328A	14R0328A	4	2	C1	11	REFT2B	47	2																																																																																																																																																											
C08.040B	14R0328A	14R0328A	1	2	C1	8	REFT2B	48	2																																																																																																																																																											
C16.052B	14R0328A	14R0328A	2	2	C1	16	REFT2B	49	2																																																																																																																																																											
C01.075B	14R0328A	14R0328A	3	2	C1	1	REFT2B	50	2																																																																																																																																																											
C20.020B	14R0328A	14R0328A	4	2	C1	20	REFT2B	51	2																																																																																																																																																											
C18.021B	14R0328A	14R0328A	1	2	C1	18	REFT2B	52	2																																																																																																																																																											
C02.052B	14R0328A	14R0328A	2	2	C1	2	REFT2B	53	2																																																																																																																																																											
C04.020B	14R0328A	14R0328A	3	2	C1	4	REFT2B	54	2																																																																																																																																																											
C22.034B	14R0328A	14R0328A	4	2	C1	22	REFT2B	55	2																																																																																																																																																											
C20.015B	14R0328A	14R0328A	1	2	C1	20	REFT2B	56	2																																																																																																																																																											
C06.016B	14R0328A	14R0328A	2	2	C1	6	REFT2B	57	2																																																																																																																																																											
C22.033B	14R0328A	14R0328A	3	2	C1	22	REFT2B	58	2																																																																																																																																																											
C02.054B	14R0328A	14R0328A	4	2	C1	2	REFT2B	59	2																																																																																																																																																											
C24.005B	14R0328A	14R0328A	1	2	C1	24	REFT2B	60	2																																																																																																																																																											
C07.041B	14R0328A	14R0328A	2	2	C1	7	REFT2B	61	2																																																																																																																																																											
C09.020B	14R0328A	14R0328A	3	2	C1	9	REFT2B	62	2																																																																																																																																																											
