 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C11.027B	14R0328A	14R0328A	1	2	D1	11	REFT2B	0	2																																																																																																																																																										
C03.037B	14R0328A	14R0328A	2	2	D1	3	REFT2B	1	2																																																																																																																																																										
C02.100B	14R0328A	14R0328A	3	2	D1	2	REFT2B	2	2																																																																																																																																																										
C13.008B	14R0328A	14R0328A	4	2	D1	13	REFT2B	3	2																																																																																																																																																										
C02.076B	14R0328A	14R0328A	1	2	D1	2	REFT2B	4	2																																																																																																																																																										
C02.017B	14R0328A	14R0328A	2	2	D1	2	REFT2B	5	2																																																																																																																																																										
C01.078B	14R0328A	14R0328A	3	2	D1	1	REFT2B	6	2																																																																																																																																																										
C16.065B	14R0328A	14R0328A	4	2	D1	16	REFT2B	7	2																																																																																																																																																										
C08.060B	14R0328A	14R0328A	1	2	D1	8	REFT2B	8	2																																																																																																																																																										
C23.030B	14R0328A	14R0328A	2	2	D1	23	REFT2B	9	2																																																																																																																																																										
C07.045B	14R0328A	14R0328A	3	2	D1	7	REFT2B	10	2																																																																																																																																																										
C14.023B	14R0328A	14R0328A	4	2	D1	14	REFT2B	11	2																																																																																																																																																										
C09.038B	14R0328A	14R0328A	1	2	D1	9	REFT2B	12	2																																																																																																																																																										
C07.004B	14R0328A	14R0328A	2	2	D1	7	REFT2B	13	2																																																																																																																																																										
C09.023B	14R0328A	14R0328A	3	2	D1	9	REFT2B	14	2																																																																																																																																																										
C01.033B	14R0328A	14R0328A	4	2	D1	1	REFT2B	15	2																																																																																																																																																										
C17.021B	14R0328A	14R0328A	1	2	D1	17	REFT2B	16	2																																																																																																																																																										
C08.062B	14R0328A	14R0328A	2	2	D1	8	REFT2B	17	2																																																																																																																																																										
C11.003B	14R0328A	14R0328A	3	2	D1	11	REFT2B	18	2																																																																																																																																																										
C04.024B	14R0328A	14R0328A	4	2	D1	4	REFT2B	19	2																																																																																																																																																										
C19.023B	14R0328A	14R0328A	1	2	D1	19	REFT2B	20	2																																																																																																																																																										
C10.009B	14R0328A	14R0328A	2	2	D1	10	REFT2B	21	2																																																																																																																																																										
C22.036B	14R0328A	14R0328A	3	2	D1	22	REFT2B	22	2																																																																																																																																																										
C08.046B	14R0328A	14R0328A	4	2	D1	8	REFT2B	23	2																																																																																																																																																										
C13.021B	14R0328A	14R0328A	1	2	D1	13	REFT2B	24	2																																																																																																																																																										
C15.026B	14R0328A	14R0328A	2	2	D1	15	REFT2B	25	2																																																																																																																																																										
C01.032B	14R0328A	14R0328A	3	2	D1	1	REFT2B	26	2																																																																																																																																																										
C18.027B	14R0328A	14R0328A	4	2	D1	18	REFT2B	27	2																																																																																																																																																										
C15.024B	14R0328A	14R0328A	1	2	D1	15	REFT2B	28	2																																																																																																																																																										
C19.026B	14R0328A	14R0328A	2	2	D1	19	REFT2B	29	2																																																																																																																																																										
C18.026B	14R0328A	14R0328A	3	2	D1	18	REFT2B	30	2																																																																																																																																																										
C20.023B	14R0328A	14R0328A	4	2	D1	20	REFT2B	31	2																																																																																																																																																										
C08.027B	14R0328A	14R0328A	1	2	D1	8	REFT2B	32	2																																																																																																																																																										
C01.057B	14R0328A	14R0328A	2	2	D1	1	REFT2B	33	2																																																																																																																																																										
C04.023B	14R0328A	14R0328A	3	2	D1	4	REFT2B	34	2																																																																																																																																																										
C23.054B	14R0328A	14R0328A	4	2	D1	23	REFT2B	35	2																																																																																																																																																										
C12.029B	14R0328A	14R0328A	1	2	D1	12	REFT2B	36	2																																																																																																																																																										
C12.031B	14R0328A	14R0328A	2	2	D1	12	REFT2B	37	2																																																																																																																																																										
C08.045B	14R0328A	14R0328A	3	2	D1	8	REFT2B	38	2																																																																																																																																																										
C02.058B	14R0328A	14R0328A	4	2	D1	2	REFT2B	39	2																																																																																																																																																										
C23.082B	14R0328A	14R0328A	1	2	D1	23	REFT2B	40	2																																																																																																																																																										
C13.023B	14R0328A	14R0328A	2	2	D1	13	REFT2B	41	2																																																																																																																																																										
C14.021B	14R0328A	14R0328A	3	2	D1	14	REFT2B	42	2																																																																																																																																																										
C01.079B	14R0328A	14R0328A	4	2	D1	1	REFT2B	43	2																																																																																																																																																										
