Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																						
C08.005A	14R0328A	14R0328A	1	2	BR1	8	TARGET																																																																																																																																																																						
C10.044A	14R0328A	14R0328A	1	2	BR1	10	TARGET																																																																																																																																																																						
C15.006A	14R0328A	14R0328A	1	2	BR1	15	TARGET																																																																																																																																																																						
C21.021A	14R0328A	14R0328A	1	2	BR1	21	TARGET																																																																																																																																																																						
C02.007A	14R0328A	14R0328A	1	2	BR1	2	TARGET																																																																																																																																																																						
C09.042A	14R0328A	14R0328A	1	2	BR1	9	TARGET																																																																																																																																																																						
C17.038A	14R0328A	14R0328A	1	2	BR1	17	TARGET																																																																																																																																																																						
C16.057A	14R0328A	14R0328A	1	2	BR1	16	TARGET																																																																																																																																																																						
C19.015A	14R0328A	14R0328A	1	2	BR1	19	TARGET																																																																																																																																																																						
C22.042A	14R0328A	14R0328A	1	2	BR1	22	TARGET																																																																																																																																																																						
C03.024A	14R0328A	14R0328A	1	2	BR1	3	TARGET																																																																																																																																																																						
C12.018A	14R0328A	14R0328A	1	2	BR1	12	TARGET																																																																																																																																																																						
C04.026A	14R0328A	14R0328A	1	2	BR1	4	TARGET																																																																																																																																																																						
C05.059A	14R0328A	14R0328A	1	2	BR1	5	TARGET																																																																																																																																																																						
C07.012A	14R0328A	14R0328A	1	2	BR1	7	TARGET																																																																																																																																																																						
C16.022A	14R0328A	14R0328A	1	2	BR1	16	TARGET																																																																																																																																																																						
C18.011A	14R0328A	14R0328A	1	2	BR1	18	TARGET																																																																																																																																																																						
C02.086A	14R0328A	14R0328A	1	2	BR1	2	TARGET																																																																																																																																																																						
C23.069A	14R0328A	14R0328A	1	2	BR1	23	TARGET																																																																																																																																																																						
C09.010A	14R0328A	14R0328A	1	2	BR1	9	TARGET																																																																																																																																																																						
C21.022A	14R0328A	14R0328A	2	2	BR1	21	TARGET																																																																																																																																																																						
C02.087A	14R0328A	14R0328A	2	2	BR1	2	TARGET																																																																																																																																																																						
C09.043A	14R0328A	14R0328A	2	2	BR1	9	TARGET																																																																																																																																																																						
C04.012A	14R0328A	14R0328A	2	2	BR1	10	TARGET																																																																																																																																																																						
C16.023A	14R0328A	14R0328A	2	2	BR1	16	TARGET																																																																																																																																																																						
C19.016A	14R0328A	14R0328A	2	2	BR1	19	TARGET																																																																																																																																																																						
C05.060A	14R0328A	14R0328A	2	2	BR1	5	TARGET																																																																																																																																																																						
C08.006A	14R0328A	14R0328A	2	2	BR1	8	TARGET																																																																																																																																																																						
C03.025A	14R0328A	14R0328A	2	2	BR1	3	TARGET																																																																																																																																																																						
C15.007A	14R0328A	14R0328A	2	2	BR1	15	TARGET																																																																																																																																																																						
C16.058A	14R0328A	14R0328A	2	2	BR1	16	TARGET																																																																																																																																																																						
C17.039A	14R0328A	14R0328A	2	2	BR1	17	TARGET																																																																																																																																																																						
C18.012A	14R0328A	14R0328A	2	2	BR1	18	TARGET																																																																																																																																																																						
C22.043A	14R0328A	14R0328A	2	2	BR1	22	TARGET																																																																																																																																																																						
C23.070A	14R0328A	14R0328A	2	2	BR1	23	TARGET																																																																																																																																																																						
C01.048A	14R0328A	14R0328A	2	2	BR1	1	TARGET																																																																																																																																																																						
C04.027A	14R0328A	14R0328A	2	2	BR1	4	TARGET																																																																																																																																																																						
C09.011A	14R0328A	14R0328A	2	2	BR1	9	TARGET																																																																																																																																																																						
C09.016A	14R0328A	14R0328A	2	2	BR1	9	TARGET																																																																																																																																																																						
C07.019A	14R0328A	14R0328A	3	2	BR1	7	TARGET																																																																																																																																																																						
C08.007A	14R0328A	14R0328A	3	2	BR1	8	TARGET																																																																																																																																																																						
C22.044A	14R0328A	14R0328A	3	2	BR1	22	TARGET																																																																																																																																																																						
C03.026A	14R0328A	14R0328A	3	2	BR1	3	TARGET																																																																																																																																																																						
C17.040A	14R0328A	14R0328A	3	2	BR1	17	TARGET																																																																																																																																																																						
C19.017A	14R0328A	14R0328A	3	2	BR1	19	TARGET																																																																																																																																																																						
C21.023A	14R0328A	14R0328A	3	2	BR1	21	TARGET																																																																																																																																																																						
C15.008A	14R0328A	14R0328A	3	2	BR1	15	TARGET																																																																																																																																																																						
C01.049A	14R0328A	14R0328A	3	2	BR1	1	TARGET																																																																																																																																																																						
C09.044A	14R0328A	14R0328A	3	2	BR1	9	TARGET																																																																																																																																																																						
C05.061A	14R0328A	14R0328A	3	2	BR1	5	TARGET																																																																																																																																																																						
C02.018A	14R0328A	14R0328A	3	2	BR1	2	TARGET																																																																																																																																																																						
C04.028A	14R0328A	14R0328A	3	2	BR1	4	TARGET																																																																																																																																																																						
C18.013A	14R0328A	14R0328A	3	2	BR1	18	TARGET																																																																																																																																																																						
C02.088A	14R0328A	14R0328A	3	2	BR1	2	TARGET																																																																																																																																																																						
C16.024A	14R0328A	14R0328A	3	2	BR1	16	TARGET																																																																																																																																																																						
C16.059A	14R0328A	14R0328A	3	2	BR1	16	TARGET																																																																																																																																																																						
C23.071A	14R0328A	14R0328A	3	2	BR1	23	TARGET																																																																																																																																																																						
C09.012A	14R0328A	14R0328A	3	2	BR1	9	TARGET																																																																																																																																																																						
C11.004A	14R0328A	14R0328A	3	2	BR1	11	TARGET																																																																																																																																																																						
C01.050A	14R0328A	14R0328A	4	2	BR1	1	TARGET																																																																																																																																																																						
C16.060A	14R0328A	14R0328A	4	2	BR1	16	TARGET																																																																																																																																																																						
C17.041A	14R0328A	14R0328A	4	2	BR1	17	TARGET																																																																																																																																																																						
C22.045A	14R0328A	14R0328A	4	2	BR1	22	TARGET																																																																																																																																																																						
C02.019A	14R0328A	14R0328A	4	2	BR1	2	TARGET																																																																																																																																																																						
C09.045A	14R0328A	14R0328A	4	2	BR1	9	TARGET																																																																																																																																																																						
C08.008A	14R0328A	14R0328A	4	2	BR1	8	TARGET																																																																																																																																																																						
C18.014A	14R0328A	14R0328A	4	2	BR1	18	TARGET																																																																																																																																																																						
C19.018A	14R0328A	14R0328A	4	2	BR1	19	TARGET																																																																																																																																																																						
C03.027A	14R0328A	14R0328A	4	2	BR1	3	TARGET																																																																																																																																																																						
C04.032A	14R0328A	14R0328A	4	2	BR1	4	TARGET																																																																																																																																																																						
C05.062A	14R0328A	14R0328A	4	2	BR1	5	TARGET																																																																																																																																																																						
C09.013A	14R0328A	14R0328A	4	2	BR1	9	TARGET																																																																																																																																																																						
