Name	pos1	pos2	pos1-pos2
mtDNA001	1	40	1-40
mtDNA002	396	451	396-451
mtDNA003	607	663	607-663
mtDNA004	859	901	859-901
mtDNA005	1123	1172	1123-1172
mtDNA006	1272	1317	1272-1317
mtDNA007	1447	1489	1447-1489
mtDNA008	1552	1607	1552-1607
mtDNA009	1751	1807	1751-1807
mtDNA010	1829	1892	1829-1892
mtDNA011	2046	2105	2046-2105
mtDNA012	2172	2221	2172-2221
mtDNA013	2270	2336	2270-2336
mtDNA014	2466	2517	2466-2517
mtDNA015	2542	2579	2542-2579
mtDNA016	2613	2667	2613-2667
mtDNA017	2764	2818	2764-2818
mtDNA018	3016	3069	3016-3069
mtDNA019	3109	3164	3109-3164
mtDNA020	3223	3281	3223-3281
mtDNA021	3338	3391	3338-3391
mtDNA022	3451	3497	3451-3497
mtDNA023	3646	3698	3646-3698
mtDNA024	3830	3882	3830-3882
mtDNA025	3917	3962	3917-3962
mtDNA026	4250	4313	4250-4313
mtDNA027	4336	4383	4336-4383
mtDNA028	4433	4486	4433-4486
mtDNA029	4588	4642	4588-4642
mtDNA030	4931	4984	4931-4984
mtDNA031	5093	5154	5093-5154
mtDNA032	5353	5408	5353-5408
mtDNA033	5516	5580	5516-5580
mtDNA034	5677	5737	5677-5737
mtDNA035	5823	5879	5823-5879
mtDNA036	5900	5951	5900-5951
mtDNA037	5978	6023	5978-6023
mtDNA038	6131	6179	6131-6179
mtDNA040	6463	6514	6463-6514
mtDNA041	6601	6659	6601-6659
mtDNA042	6691	6752	6691-6752
mtDNA043	6965	7022	6965-7022
mtDNA044	7046	7103	7046-7103
mtDNA045	7208	7250	7208-7250
mtDNA046	7301	7364	7301-7364
mtDNA047	7385	7435	7385-7435
mtDNA048	7471	7516	7471-7516
mtDNA051	7914	7960	7914-7960
mtDNA052	8037	8092	8037-8092
mtDNA053	8288	8343	8288-8343
mtDNA054	8345	8387	8345-8387
mtDNA055	8515	8562	8515-8562
mtDNA057	8796	8843	8796-8843
mtDNA060	9302	9356	9302-9356
mtDNA061	9459	9505	9459-9505
mtDNA062	9582	9636	9582-9636
mtDNA064	9884	9932	9884-9932
mtDNA065	10121	10175	10121-10175
mtDNA066	10331	10394	10331-10394
mtDNA067	10459	10523	10459-10523
mtDNA068	10677	10724	10677-10724
mtDNA069	10814	10872	10814-10872
mtDNA070	10941	10993	10941-10993
mtDNA071	11125	11170	11125-11170
mtDNA072	11247	11308	11247-11308
mtDNA073	11383	11431	11383-11431
mtDNA074	11601	11657	11601-11657
mtDNA075	11724	11778	11724-11778
mtDNA076	11834	11883	11834-11883
mtDNA077	12028	12086	12028-12086
mtDNA078	12244	12304	12244-12304
mtDNA079	12442	12494	12442-12494
mtDNA080	12551	12611	12551-12611
mtDNA081	12827	12875	12827-12875
mtDNA082	12978	13024	12978-13024
mtDNA084	13294	13336	13294-13336
mtDNA085	13424	13473	13424-13473
mtDNA086	13515	13561	13515-13561
mtDNA087	13610	13665	13610-13665
mtDNA088	13761	13808	13761-13808
mtDNA089	13966	14019	13966-14019
mtDNA090	14074	14138	14074-14138
mtDNA091	14261	14308	14261-14308
mtDNA092	14365	14414	14365-14414
mtDNA093	14589	14644	14589-14644
mtDNA094	14670	14722	14670-14722
mtDNA096	14897	14938	14897-14938
mtDNA099	15567	15617	15567-15617
mtDNA100	15796	15860	15796-15860
mtDNA101	15987	16048	15987-16048
mtDNA102	16402	16450	16402-16450
