Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																							
C01.055A	14R0328A	14R0328A	1	2	AR1	1	TARGET																																																																																																																																																																							
C01.056A	14R0328A	14R0328A	2	2	AR1	1	TARGET																																																																																																																																																																							
C01.059A	14R0328A	14R0328A	3	2	AR1	1	TARGET																																																																																																																																																																							
C01.061A	14R0328A	14R0328A	4	2	AR1	1	TARGET																																																																																																																																																																							
C01.062A	14R0328A	14R0328A	5	2	AR2	1	TARGET																																																																																																																																																																							
C01.063A	14R0328A	14R0328A	6	2	AR2	1	TARGET																																																																																																																																																																							
C01.064A	14R0328A	14R0328A	7	2	AR2	1	TARGET																																																																																																																																																																							
C01.082A	14R0328A	14R0328A	8	2	AR2	1	TARGET																																																																																																																																																																							
C02.024A	14R0328A	14R0328A	1	2	AR1	2	TARGET																																																																																																																																																																							
C02.104A	14R0328A	14R0328A	1	2	AR1	2	TARGET																																																																																																																																																																							
C02.105A	14R0328A	14R0328A	2	2	AR1	2	TARGET																																																																																																																																																																							
C02.025A	14R0328A	14R0328A	2	2	AR1	2	TARGET																																																																																																																																																																							
C02.106A	14R0328A	14R0328A	3	2	AR1	2	TARGET																																																																																																																																																																							
C02.026A	14R0328A	14R0328A	3	2	AR1	2	TARGET																																																																																																																																																																							
C02.107A	14R0328A	14R0328A	4	2	AR1	2	TARGET																																																																																																																																																																							
C02.027A	14R0328A	14R0328A	4	2	AR1	2	TARGET																																																																																																																																																																							
C02.108A	14R0328A	14R0328A	5	2	AR2	2	TARGET																																																																																																																																																																							
C02.028A	14R0328A	14R0328A	5	2	AR2	2	TARGET																																																																																																																																																																							
C02.109A	14R0328A	14R0328A	6	2	AR2	2	TARGET																																																																																																																																																																							
C02.029A	14R0328A	14R0328A	6	2	AR2	2	TARGET																																																																																																																																																																							
C02.030A	14R0328A	14R0328A	7	2	AR2	2	TARGET																																																																																																																																																																							
C02.110A	14R0328A	14R0328A	7	2	AR2	2	TARGET																																																																																																																																																																							
C02.034A	14R0328A	14R0328A	7	2	AR2	2	TARGET																																																																																																																																																																							
C02.031A	14R0328A	14R0328A	8	2	AR2	2	TARGET																																																																																																																																																																							
C02.111A	14R0328A	14R0328A	8	2	AR2	2	TARGET																																																																																																																																																																							
C03.042A	14R0328A	14R0328A	1	2	AR1	3	TARGET																																																																																																																																																																							
C03.043A	14R0328A	14R0328A	2	2	AR1	3	TARGET																																																																																																																																																																							
C03.044A	14R0328A	14R0328A	3	2	AR1	3	TARGET																																																																																																																																																																							
C03.050A	14R0328A	14R0328A	4	2	AR1	3	TARGET																																																																																																																																																																							
C03.051A	14R0328A	14R0328A	5	2	AR2	3	TARGET																																																																																																																																																																							
C03.052A	14R0328A	14R0328A	6	2	AR2	3	TARGET																																																																																																																																																																							
C03.053A	14R0328A	14R0328A	7	2	AR2	3	TARGET																																																																																																																																																																							
C04.052A	14R0328A	14R0328A	1	2	AR1	4	TARGET																																																																																																																																																																							
C04.002A	14R0328A	14R0328A	8	2	AR2	4	TARGET																																																																																																																																																																							
C17.057A	14R0328A	14R0328A	2	2	AR1	17	TARGET																																																																																																																																																																							
C05.002A	14R0328A	14R0328A	3	2	AR1	5	TARGET																																																																																																																																																																							
C05.003A	14R0328A	14R0328A	4	2	AR1	5	TARGET																																																																																																																																																																							
C05.004A	14R0328A	14R0328A	5	2	AR2	5	TARGET																																																																																																																																																																							
C05.005A	14R0328A	14R0328A	6	2	AR2	5	TARGET																																																																																																																																																																							
C05.006A	14R0328A	14R0328A	7	2	AR2	5	TARGET																																																																																																																																																																							
C05.007A	14R0328A	14R0328A	8	2	AR2	5	TARGET																																																																																																																																																																							
C06.003A	14R0328A	14R0328A	1	2	AR1	6	TARGET																																																																																																																																																																							
C06.004A	14R0328A	14R0328A	2	2	AR1	6	TARGET																																																																																																																																																																							
C06.005A	14R0328A	14R0328A	3	2	AR1	6	TARGET																																																																																																																																																																							
C06.006A	14R0328A	14R0328A	4	2	AR1	6	TARGET																																																																																																																																																																							
C06.007A	14R0328A	14R0328A	5	2	AR2	6	TARGET																																																																																																																																																																							
C06.008A	14R0328A	14R0328A	6	2	AR2	6	TARGET																																																																																																																																																																							
C06.009A	14R0328A	14R0328A	7	2	AR2	6	TARGET																																																																																																																																																																							
C06.010A	14R0328A	14R0328A	8	2	AR2	6	TARGET																																																																																																																																																																							
C07.025A	14R0328A	14R0328A	1	2	AR1	7	TARGET																																																																																																																																																																							
C07.030A	14R0328A	14R0328A	2	2	AR1	7	TARGET																																																																																																																																																																							
C07.031A	14R0328A	14R0328A	3	2	AR1	7	TARGET																																																																																																																																																																							
C07.032A	14R0328A	14R0328A	4	2	AR1	7	TARGET																																																																																																																																																																							
C07.033A	14R0328A	14R0328A	5	2	AR2	7	TARGET																																																																																																																																																																							
C07.034A	14R0328A	14R0328A	6	2	AR2	7	TARGET																																																																																																																																																																							
C07.035A	14R0328A	14R0328A	7	2	AR2	7	TARGET																																																																																																																																																																							
C07.036A	14R0328A	14R0328A	8	2	AR2	7	TARGET																																																																																																																																																																							
C08.014A	14R0328A	14R0328A	2	2	AR1	8	TARGET																																																																																																																																																																							
C08.015A	14R0328A	14R0328A	3	2	AR1	8	TARGET																																																																																																																																																																							
C08.016A	14R0328A	14R0328A	4	2	AR1	8	TARGET																																																																																																																																																																							
C08.013A	14R0328A	14R0328A	6	2	AR2	8	TARGET																																																																																																																																																																							
C08.017A	14R0328A	14R0328A	5	2	AR2	8	TARGET																																																																																																																																																																							
C08.019A	14R0328A	14R0328A	6	2	AR2	8	TARGET																																																																																																																																																																							
C08.020A	14R0328A	14R0328A	7	2	AR2	8	TARGET																																																																																																																																																																							
C08.025A	14R0328A	14R0328A	8	2	AR2	8	TARGET																																																																																																																																																																							
chr8_q6M	14R0328A	14R0328A	8	2	AR2	8	TARGET																																																																																																																																																																							
C09.008A	14R0328A	14R0328A	4	2	AR1	9	TARGET																																																																																																																																																																							
C09.009A	14R0328A	14R0328A	4	2	AR1	9	TARGET																																																																																																																																																																							
C10.005A	14R0328A	14R0328A	1	2	AR1	10	TARGET																																																																																																																																																																							
C10.006A	14R0328A	14R0328A	2	2	AR1	10	TARGET																																																																																																																																																																							
C10.007A	14R0328A	14R0328A	3	2	AR1	10	TARGET																																																																																																																																																																							
C10.014A	14R0328A	14R0328A	5	2	AR2	10	TARGET																																																																																																																																																																							
C10.015A	14R0328A	14R0328A	6	2	AR2	10	TARGET																																																																																																																																																																							
C10.016A	14R0328A	14R0328A	7	2	AR2	10	TARGET																																																																																																																																																																							
C10.017A	14R0328A	14R0328A	8	2	AR2	10	TARGET																																																																																																																																																																							
C11.019A	14R0328A	14R0328A	1	2	AR1	11	TARGET																																																																																																																																																																							
C11.020A	14R0328A	14R0328A	2	2	AR1	11	TARGET																																																																																																																																																																							
C11.042A	14R0328A	14R0328A	3	2	AR1	11	TARGET																																																																																																																																																																							
C11.021A	14R0328A	14R0328A	3	2	AR1	11	TARGET																																																																																																																																																																							
C11.043A	14R0328A	14R0328A	4	2	AR1	11	TARGET																																																																																																																																																																							
C11.022A	14R0328A	14R0328A	4	2	AR1	11	TARGET																																																																																																																																																																							
