Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																				
11p13_q2m	14R0328A	14R0328A	8	2	CR2	11	TARGET																																																																																																																																																																				
C01.001A	14R0328A	14R0328A	1	2	CR1	1	TARGET																																																																																																																																																																				
C01.002A	14R0328A	14R0328A	2	2	CR1	1	TARGET																																																																																																																																																																				
C01.003A	14R0328A	14R0328A	3	2	CR1	1	TARGET																																																																																																																																																																				
C01.004A	14R0328A	14R0328A	4	2	CR1	1	TARGET																																																																																																																																																																				
C01.005A	14R0328A	14R0328A	5	2	CR2	1	TARGET																																																																																																																																																																				
C01.006A	14R0328A	14R0328A	6	2	CR2	1	TARGET																																																																																																																																																																				
C01.007A	14R0328A	14R0328A	7	2	CR2	1	TARGET																																																																																																																																																																				
C01.008A	14R0328A	14R0328A	8	2	CR2	1	TARGET																																																																																																																																																																				
C01.083A	14R0328A	14R0328A	1	2	CR1	1	TARGET																																																																																																																																																																				
C01.084A	14R0328A	14R0328A	2	2	CR1	1	TARGET																																																																																																																																																																				
C01.085A	14R0328A	14R0328A	3	2	CR1	1	TARGET																																																																																																																																																																				
C01.086A	14R0328A	14R0328A	4	2	CR1	1	TARGET																																																																																																																																																																				
C01.087A	14R0328A	14R0328A	5	2	CR2	1	TARGET																																																																																																																																																																				
C01.088A	14R0328A	14R0328A	6	2	CR2	1	TARGET																																																																																																																																																																				
C01.089A	14R0328A	14R0328A	7	2	CR2	1	TARGET																																																																																																																																																																				
C01.090A	14R0328A	14R0328A	8	2	CR2	1	TARGET																																																																																																																																																																				
C02.032A	14R0328A	14R0328A	1	2	CR1	2	TARGET																																																																																																																																																																				
C02.033A	14R0328A	14R0328A	2	2	CR1	2	TARGET																																																																																																																																																																				
C02.035A	14R0328A	14R0328A	4	2	CR1	2	TARGET																																																																																																																																																																				
C02.040A	14R0328A	14R0328A	5	2	CR2	2	TARGET																																																																																																																																																																				
C02.044A	14R0328A	14R0328A	6	2	CR2	2	TARGET																																																																																																																																																																				
C02.045A	14R0328A	14R0328A	7	2	CR2	2	TARGET																																																																																																																																																																				
C02.046A	14R0328A	14R0328A	2	2	CR1	2	TARGET																																																																																																																																																																				
C02.112A	14R0328A	14R0328A	1	2	CR1	2	TARGET																																																																																																																																																																				
C02.113A	14R0328A	14R0328A	2	2	CR1	2	TARGET																																																																																																																																																																				
C02.114A	14R0328A	14R0328A	3	2	CR1	2	TARGET																																																																																																																																																																				
C03.001A	14R0328A	14R0328A	4	2	CR1	3	TARGET																																																																																																																																																																				
C03.002A	14R0328A	14R0328A	5	2	CR2	3	TARGET																																																																																																																																																																				
C03.003A	14R0328A	14R0328A	6	2	CR2	3	TARGET																																																																																																																																																																				
C03.004A	14R0328A	14R0328A	7	2	CR2	3	TARGET																																																																																																																																																																				
C03.005A	14R0328A	14R0328A	8	2	CR2	3	TARGET																																																																																																																																																																				
C04.003A	14R0328A	14R0328A	1	2	CR1	4	TARGET																																																																																																																																																																				
C04.004A	14R0328A	14R0328A	2	2	CR1	4	TARGET																																																																																																																																																																				
C04.007A	14R0328A	14R0328A	3	2	CR1	4	TARGET																																																																																																																																																																				
C04.008A	14R0328A	14R0328A	4	2	CR1	4	TARGET																																																																																																																																																																				
C04.009A	14R0328A	14R0328A	5	2	CR2	4	TARGET																																																																																																																																																																				
C04.010A	14R0328A	14R0328A	6	2	CR2	4	TARGET																																																																																																																																																																				
C04.011A	14R0328A	14R0328A	7	2	CR2	4	TARGET																																																																																																																																																																				
C05.001A	14R0328A	14R0328A	4	2	CR1	5	TARGET																																																																																																																																																																				
C05.008A	14R0328A	14R0328A	1	2	CR1	5	TARGET																																																																																																																																																																				
C05.009A	14R0328A	14R0328A	2	2	CR1	5	TARGET																																																																																																																																																																				
C05.010A	14R0328A	14R0328A	3	2	CR1	5	TARGET																																																																																																																																																																				
C05.011A	14R0328A	14R0328A	4	2	CR1	5	TARGET																																																																																																																																																																				
C05.012A	14R0328A	14R0328A	5	2	CR2	5	TARGET																																																																																																																																																																				
C05.013A	14R0328A	14R0328A	6	2	CR2	5	TARGET																																																																																																																																																																				
C05.014A	14R0328A	14R0328A	7	2	CR2	5	TARGET																																																																																																																																																																				
C05.015A	14R0328A	14R0328A	8	2	CR2	5	TARGET																																																																																																																																																																				
C06.021A	14R0328A	14R0328A	1	2	CR1	6	TARGET																																																																																																																																																																				
C06.022A	14R0328A	14R0328A	2	2	CR1	6	TARGET																																																																																																																																																																				
C06.037A	14R0328A	14R0328A	5	2	CR2	6	TARGET																																																																																																																																																																				
C06.038A	14R0328A	14R0328A	6	2	CR2	6	TARGET																																																																																																																																																																				
C06.039A	14R0328A	14R0328A	7	2	CR2	6	TARGET																																																																																																																																																																				
C06.040A	14R0328A	14R0328A	8	2	CR2	6	TARGET																																																																																																																																																																				
C07.037A	14R0328A	14R0328A	1	2	CR1	7	TARGET																																																																																																																																																																				
C07.038A	14R0328A	14R0328A	2	2	CR1	7	TARGET																																																																																																																																																																				
C07.039A	14R0328A	14R0328A	3	2	CR1	7	TARGET																																																																																																																																																																				
C07.049A	14R0328A	14R0328A	4	2	CR1	7	TARGET																																																																																																																																																																				
C07.056A	14R0328A	14R0328A	6	2	CR2	7	TARGET																																																																																																																																																																				
C07.057A	14R0328A	14R0328A	7	2	CR2	7	TARGET																																																																																																																																																																				
C07.058A	14R0328A	14R0328A	8	2	CR2	7	TARGET																																																																																																																																																																				
C08.026A	14R0328A	14R0328A	1	2	CR1	8	TARGET																																																																																																																																																																				
C09.001A	14R0328A	14R0328A	3	2	CR1	9	TARGET																																																																																																																																																																				
C09.002A	14R0328A	14R0328A	4	2	CR1	9	TARGET																																																																																																																																																																				
C09.003A	14R0328A	14R0328A	5	2	CR2	9	TARGET																																																																																																																																																																				
C09.004A	14R0328A	14R0328A	6	2	CR2	9	TARGET																																																																																																																																																																				
C09.005A	14R0328A	14R0328A	7	2	CR2	9	TARGET																																																																																																																																																																				
C09.006A	14R0328A	14R0328A	8	2	CR2	9	TARGET																																																																																																																																																																				
C09.014A	14R0328A	14R0328A	2	2	CR1	9	TARGET																																																																																																																																																																				
C10.018A	14R0328A	14R0328A	1	2	CR1	10	TARGET																																																																																																																																																																				
C10.019A	14R0328A	14R0328A	2	2	CR1	10	TARGET																																																																																																																																																																				
C10.020A	14R0328A	14R0328A	3	2	CR1	10	TARGET																																																																																																																																																																				
C10.021A	14R0328A	14R0328A	4	2	CR1	10	TARGET																																																																																																																																																																				
C10.022A	14R0328A	14R0328A	5	2	CR2	10	TARGET																																																																																																																																																																				
C10.023A	14R0328A	14R0328A	3	2	CR1	10	TARGET																																																																																																																																																																				
C10.024A	14R0328A	14R0328A	7	2	CR2	10	TARGET																																																																																																																																																																				
C10.025A	14R0328A	14R0328A	8	2	CR2	10	TARGET																																																																																																																																																																				
C10.045A	14R0328A	14R0328A	8	2	CR2	4	TARGET																																																																																																																																																																				
C11.048A	14R0328A	14R0328A	1	2	CR1	11	TARGET																																																																																																																																																																				
C11.049A	14R0328A	14R0328A	2	2	CR1	11	TARGET																																																																																																																																																																				
C11.050A	14R0328A	14R0328A	3	2	CR1	11	TARGET																																																																																																																																																																				
C11.051A	14R0328A	14R0328A	4	2	CR1	11	TARGET																																																																																																																																																																				
C12.001A	14R0328A	14R0328A	5	2	CR2	12	TARGET																																																																																																																																																																				
C12.002A	14R0328A	14R0328A	6	2	CR2	12	TARGET																																																																																																																																																																				
C12.003A	14R0328A	14R0328A	7	2	CR2	12	TARGET																																																																																																																																																																				
C12.004A	14R0328A	14R0328A	8	2	CR2	12	TARGET																																																																																																																																																																				
C14.006A	14R0328A	14R0328A	1	2	CR1	14	TARGET																																																																																																																																																																				
C14.012A	14R0328A	14R0328A	2	2	CR1	14	TARGET																																																																																																																																																																				
C14.013A	14R0328A	14R0328A	3	2	CR1	14	TARGET																																																																																																																																																																				
C14.029A	14R0328A	14R0328A	5	2	CR2	14	TARGET																																																																																																																																																																				
C14.030A	14R0328A	14R0328A	6	2	CR2	14	TARGET																																																																																																																																																																				
C14.031A	14R0328A	14R0328A	7	2	CR2	14	TARGET																																																																																																																																																																				
C14.032A	14R0328A	14R0328A	8	2	CR2	14	TARGET																																																																																																																																																																				
C15.034A	14R0328A	14R0328A	1	2	CR1	15	TARGET																																																																																																																																																																				
C15.035A	14R0328A	14R0328A	2	2	CR1	15	TARGET																																																																																																																																																																				
C16.001A	14R0328A	14R0328A	3	2	CR1	16	TARGET																																																																																																																																																																				
C16.002A	14R0328A	14R0328A	4	2	CR1	16	TARGET																																																																																																																																																																				
C16.003A	14R0328A	14R0328A	5	2	CR2	16	TARGET																																																																																																																																																																				
