Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																					
11p13_q1m	14R0328A	14R0328A	5	2	DR2	11	TARGET																																																																																																																																																																					
11p13_q3m	14R0328A	14R0328A	7	2	DR2	11	TARGET																																																																																																																																																																					
C01.013A	14R0328A	14R0328A	1	2	DR1	1	TARGET																																																																																																																																																																					
C01.015A	14R0328A	14R0328A	2	2	DR1	1	TARGET																																																																																																																																																																					
C01.017A	14R0328A	14R0328A	3	2	DR1	1	TARGET																																																																																																																																																																					
C01.018A	14R0328A	14R0328A	4	2	DR1	1	TARGET																																																																																																																																																																					
C01.019A	14R0328A	14R0328A	5	2	DR2	1	TARGET																																																																																																																																																																					
C01.020A	14R0328A	14R0328A	6	2	DR2	1	TARGET																																																																																																																																																																					
C01.021A	14R0328A	14R0328A	7	2	DR2	1	TARGET																																																																																																																																																																					
C01.022A	14R0328A	14R0328A	8	2	DR2	1	TARGET																																																																																																																																																																					
C01.093A	14R0328A	14R0328A	1	2	DR1	1	TARGET																																																																																																																																																																					
C01.095A	14R0328A	14R0328A	2	2	DR1	1	TARGET																																																																																																																																																																					
C02.001A	14R0328A	14R0328A	3	2	DR1	2	TARGET																																																																																																																																																																					
C02.002A	14R0328A	14R0328A	4	2	DR1	2	TARGET																																																																																																																																																																					
C02.003A	14R0328A	14R0328A	5	2	DR2	2	TARGET																																																																																																																																																																					
C02.004A	14R0328A	14R0328A	6	2	DR2	2	TARGET																																																																																																																																																																					
C02.005A	14R0328A	14R0328A	7	2	DR2	2	TARGET																																																																																																																																																																					
C02.006A	14R0328A	14R0328A	8	2	DR2	2	TARGET																																																																																																																																																																					
C02.047A	14R0328A	14R0328A	1	2	DR1	2	TARGET																																																																																																																																																																					
C02.057A	14R0328A	14R0328A	2	2	DR1	2	TARGET																																																																																																																																																																					
C02.061A	14R0328A	14R0328A	3	2	DR1	2	TARGET																																																																																																																																																																					
C02.062A	14R0328A	14R0328A	4	2	DR1	2	TARGET																																																																																																																																																																					
C02.063A	14R0328A	14R0328A	5	2	DR2	2	TARGET																																																																																																																																																																					
C02.064A	14R0328A	14R0328A	6	2	DR2	2	TARGET																																																																																																																																																																					
C02.065A	14R0328A	14R0328A	7	2	DR2	2	TARGET																																																																																																																																																																					
C02.079A	14R0328A	14R0328A	8	2	DR2	2	TARGET																																																																																																																																																																					
C03.007A	14R0328A	14R0328A	2	2	DR1	3	TARGET																																																																																																																																																																					
C03.008A	14R0328A	14R0328A	3	2	DR1	3	TARGET																																																																																																																																																																					
C03.009A	14R0328A	14R0328A	4	2	DR1	3	TARGET																																																																																																																																																																					
C03.010A	14R0328A	14R0328A	5	2	DR2	3	TARGET																																																																																																																																																																					
C03.011A	14R0328A	14R0328A	6	2	DR2	3	TARGET																																																																																																																																																																					
C03.022A	14R0328A	14R0328A	7	2	DR2	3	TARGET																																																																																																																																																																					
C03.023A	14R0328A	14R0328A	8	2	DR2	3	TARGET																																																																																																																																																																					
C04.013A	14R0328A	14R0328A	1	2	DR1	4	TARGET																																																																																																																																																																					
C04.014A	14R0328A	14R0328A	2	2	DR1	4	TARGET																																																																																																																																																																					
C04.015A	14R0328A	14R0328A	3	2	DR1	4	TARGET																																																																																																																																																																					
C04.016A	14R0328A	14R0328A	4	2	DR1	4	TARGET																																																																																																																																																																					
C04.017A	14R0328A	14R0328A	5	2	DR2	4	TARGET																																																																																																																																																																					
C04.019A	14R0328A	14R0328A	2	2	DR1	4	TARGET																																																																																																																																																																					
C04.025A	14R0328A	14R0328A	8	2	DR2	4	TARGET																																																																																																																																																																					
C05.021A	14R0328A	14R0328A	1	2	DR1	5	TARGET																																																																																																																																																																					
C05.022A	14R0328A	14R0328A	2	2	DR1	5	TARGET																																																																																																																																																																					
C05.048A	14R0328A	14R0328A	3	2	DR1	5	TARGET																																																																																																																																																																					
C05.049A	14R0328A	14R0328A	4	2	DR1	5	TARGET																																																																																																																																																																					
C05.050A	14R0328A	14R0328A	5	2	DR2	5	TARGET																																																																																																																																																																					
C05.051A	14R0328A	14R0328A	6	2	DR2	5	TARGET																																																																																																																																																																					
C05.052A	14R0328A	14R0328A	7	2	DR2	5	TARGET																																																																																																																																																																					
C05.058A	14R0328A	14R0328A	8	2	DR2	5	TARGET																																																																																																																																																																					
C06.041A	14R0328A	14R0328A	1	2	DR1	6	TARGET																																																																																																																																																																					
C06.042A	14R0328A	14R0328A	2	2	DR1	6	TARGET																																																																																																																																																																					
C07.006A	14R0328A	14R0328A	3	2	DR1	7	TARGET																																																																																																																																																																					
C07.007A	14R0328A	14R0328A	4	2	DR1	7	TARGET																																																																																																																																																																					
C07.008A	14R0328A	14R0328A	5	2	DR2	7	TARGET																																																																																																																																																																					
C07.009A	14R0328A	14R0328A	6	2	DR2	7	TARGET																																																																																																																																																																					
C07.010A	14R0328A	14R0328A	7	2	DR2	7	TARGET																																																																																																																																																																					
C07.011A	14R0328A	14R0328A	8	2	DR2	7	TARGET																																																																																																																																																																					
C07.059A	14R0328A	14R0328A	1	2	DR1	7	TARGET																																																																																																																																																																					
C07.060A	14R0328A	14R0328A	2	2	DR1	7	TARGET																																																																																																																																																																					
C07.061A	14R0328A	14R0328A	3	2	DR1	7	TARGET																																																																																																																																																																					
C07.062A	14R0328A	14R0328A	4	2	DR1	7	TARGET																																																																																																																																																																					
C08.001A	14R0328A	14R0328A	5	2	DR2	8	TARGET																																																																																																																																																																					
C08.002A	14R0328A	14R0328A	6	2	DR2	8	TARGET																																																																																																																																																																					
C08.003A	14R0328A	14R0328A	7	2	DR2	8	TARGET																																																																																																																																																																					
C08.004A	14R0328A	14R0328A	8	2	DR2	8	TARGET																																																																																																																																																																					
C09.007A	14R0328A	14R0328A	1	2	DR1	9	TARGET																																																																																																																																																																					
C09.017A	14R0328A	14R0328A	4	2	DR1	9	TARGET																																																																																																																																																																					
C09.039A	14R0328A	14R0328A	6	2	DR2	9	TARGET																																																																																																																																																																					
C09.040A	14R0328A	14R0328A	7	2	DR2	9	TARGET																																																																																																																																																																					
C09.041A	14R0328A	14R0328A	8	2	DR2	9	TARGET																																																																																																																																																																					
C10.026A	14R0328A	14R0328A	1	2	DR1	10	TARGET																																																																																																																																																																					
C10.038A	14R0328A	14R0328A	3	2	DR1	10	TARGET																																																																																																																																																																					
C10.039A	14R0328A	14R0328A	4	2	DR1	10	TARGET																																																																																																																																																																					
C10.040A	14R0328A	14R0328A	5	2	DR2	10	TARGET																																																																																																																																																																					
C10.041A	14R0328A	14R0328A	6	2	DR2	10	TARGET																																																																																																																																																																					
C10.042A	14R0328A	14R0328A	7	2	DR2	10	TARGET																																																																																																																																																																					
C10.043A	14R0328A	14R0328A	8	2	DR2	10	TARGET																																																																																																																																																																					
C12.005A	14R0328A	14R0328A	1	2	DR1	12	TARGET																																																																																																																																																																					
C12.006A	14R0328A	14R0328A	2	2	DR1	12	TARGET																																																																																																																																																																					
C12.007A	14R0328A	14R0328A	3	2	DR1	12	TARGET																																																																																																																																																																					
C12.008A	14R0328A	14R0328A	4	2	DR1	12	TARGET																																																																																																																																																																					
C12.009A	14R0328A	14R0328A	5	2	DR2	12	TARGET																																																																																																																																																																					
C12.010A	14R0328A	14R0328A	6	2	DR2	12	TARGET																																																																																																																																																																					
C12.011A	14R0328A	14R0328A	7	2	DR2	12	TARGET																																																																																																																																																																					
C12.017A	14R0328A	14R0328A	8	2	DR2	12	TARGET																																																																																																																																																																					
C14.033A	14R0328A	14R0328A	1	2	DR1	14	TARGET																																																																																																																																																																					
C14.034A	14R0328A	14R0328A	2	2	DR1	14	TARGET																																																																																																																																																																					
C14.035A	14R0328A	14R0328A	3	2	DR1	14	TARGET																																																																																																																																																																					
C15.001A	14R0328A	14R0328A	4	2	DR1	15	TARGET																																																																																																																																																																					
C15.002A	14R0328A	14R0328A	5	2	DR2	15	TARGET																																																																																																																																																																					
C15.003A	14R0328A	14R0328A	6	2	DR2	15	TARGET																																																																																																																																																																					
C15.004A	14R0328A	14R0328A	7	2	DR2	15	TARGET																																																																																																																																																																					
C15.005A	14R0328A	14R0328A	8	2	DR2	15	TARGET																																																																																																																																																																					
C16.007A	14R0328A	14R0328A	1	2	DR1	16	TARGET																																																																																																																																																																					
C16.008A	14R0328A	14R0328A	2	2	DR1	16	TARGET																																																																																																																																																																					
C16.009A	14R0328A	14R0328A	3	2	DR1	16	TARGET																																																																																																																																																																					
C16.013A	14R0328A	14R0328A	4	2	DR1	16	TARGET																																																																																																																																																																					
C16.014A	14R0328A	14R0328A	5	2	DR2	16	TARGET																																																																																																																																																																					
C16.015A	14R0328A	14R0328A	6	2	DR2	16	TARGET																																																																																																																																																																					
C16.016A	14R0328A	14R0328A	7	2	DR2	16	TARGET																																																																																																																																																																					
C16.046A	14R0328A	14R0328A	1	2	DR1	16	TARGET																																																																																																																																																																					
C16.047A	14R0328A	14R0328A	2	2	DR1	16	TARGET																																																																																																																																																																					
C16.049A	14R0328A	14R0328A	3	2	DR1	16	TARGET																																																																																																																																																																					
C16.051A	14R0328A	14R0328A	4	2	DR1	16	TARGET																																																																																																																																																																					
C16.053A	14R0328A	14R0328A	5	2	DR2	16	TARGET																																																																																																																																																																					
C16.054A	14R0328A	14R0328A	6	2	DR2	16	TARGET																																																																																																																																																																					
C16.055A	14R0328A	14R0328A	7	2	DR2	16	TARGET																																																																																																																																																																					
C16.056A	14R0328A	14R0328A	8	2	DR2	16	TARGET																																																																																																																																																																					
C17.025A	14R0328A	14R0328A	1	2	DR1	17	TARGET																																																																																																																																																																					
C17.026A	14R0328A	14R0328A	2	2	DR1	17	TARGET																																																																																																																																																																					
C17.027A	14R0328A	14R0328A	3	2	DR1	17	TARGET																																																																																																																																																																					
C17.028A	14R0328A	14R0328A	4	2	DR1	17	TARGET																																																																																																																																																																					
C17.029A	14R0328A	14R0328A	5	2	DR2	17	TARGET																																																																																																																																																																					
C17.033A	14R0328A	14R0328A	6	2	DR2	17	TARGET																																																																																																																																																																					
C17.036A	14R0328A	14R0328A	7	2	DR2	17	TARGET																																																																																																																																																																					
C17.037A	14R0328A	14R0328A	8	2	DR2	17	TARGET																																																																																																																																																																					
C18.003A	14R0328A	14R0328A	1	2	DR1	18	TARGET																																																																																																																																																																					
C18.004A	14R0328A	14R0328A	2	2	DR1	18	TARGET																																																																																																																																																																					
C18.005A	14R0328A	14R0328A	3	2	DR1	18	TARGET																																																																																																																																																																					
C18.006A	14R0328A	14R0328A	4	2	DR1	18	TARGET																																																																																																																																																																					
C18.007A	14R0328A	14R0328A	5	2	DR2	18	TARGET																																																																																																																																																																					
C18.008A	14R0328A	14R0328A	6	2	DR2	18	TARGET																																																																																																																																																																					
C18.009A	14R0328A	14R0328A	7	2	DR2	18	TARGET																																																																																																																																																																					
C18.010A	14R0328A	14R0328A	8	2	DR2	18	TARGET																																																																																																																																																																					
C19.007A	14R0328A	14R0328A	1	2	DR1	19	TARGET																																																																																																																																																																					
C19.008A	14R0328A	14R0328A	2	2	DR1	19	TARGET																																																																																																																																																																					
C19.009A	14R0328A	14R0328A	3	2	DR1	19	TARGET																																																																																																																																																																					
C19.010A	14R0328A	14R0328A	4	2	DR1	19	TARGET																																																																																																																																																																					
C19.011A	14R0328A	14R0328A	5	2	DR2	19	TARGET																																																																																																																																																																					
C19.012A	14R0328A	14R0328A	6	2	DR2	19	TARGET																																																																																																																																																																					
C19.013A	14R0328A	14R0328A	7	2	DR2	19	TARGET																																																																																																																																																																					
C19.014A	14R0328A	14R0328A	8	2	DR2	19	TARGET																																																																																																																																																																					
C20.036A	14R0328A	14R0328A	1	2	DR1	20	TARGET																																																																																																																																																																					
C20.037A	14R0328A	14R0328A	2	2	DR1	20	TARGET																																																																																																																																																																					
C20.038A	14R0328A	14R0328A	3	2	DR1	20	TARGET																																																																																																																																																																					
C21.016A	14R0328A	14R0328A	4	2	DR1	21	TARGET																																																																																																																																																																					
C21.017A	14R0328A	14R0328A	5	2	DR2	21	TARGET																																																																																																																																																																					
C21.018A	14R0328A	14R0328A	6	2	DR2	21	TARGET																																																																																																																																																																					
C21.019A	14R0328A	14R0328A	7	2	DR2	21	TARGET																																																																																																																																																																					
C21.020A	14R0328A	14R0328A	8	2	DR2	21	TARGET																																																																																																																																																																					
C22.022A	14R0328A	14R0328A	1	2	DR1	22	TARGET																																																																																																																																																																					
