Site	Chr	Pos1	Pos2	Female	Male
11p13_q1m	11	31814034	31814078	2	2
11p13_q2m	11	32138345	32138394	2	2
11p13_q3m	11	32303851	32303901	2	2
11q23-01	11	111974709	111974759	2	2
11q23-02	11	113331106	113331152	2	2
11q23-03	11	115520922	115520965	2	2
11q23-04	11	116871491	116871533	2	2
11q23-05	11	119521766	119521812	2	2
14q22-01	14	53905557	53905613	2	2
15q25.2-01	15	83638786	83638837	2	2
21q22.11-01	21	34616460	34616503	2	2
21q22.11-02	21	34787992	34788042	2	2
21q22.11-03	21	34926459	34926508	2	2
21q22.11-04	21	35107310	35107351	2	2
22_01	22	16877828	16877874	2	2
22_02	16	33923050	33923099	2	2
22_03	21	9439073	9439112	2	2
22_04	22	17447338	17447384	2	2
22_05	22	17305107	17305155	2	2
2p21_01	2	44413021	44413076	2	2
2p21_02	2	44503184	44503232	2	2
2p21_03	2	44508631	44508679	2	2
2p21_04	2	44545785	44545842	2	2
2p21_05	2	44553205	44553250	2	2
2p21_06	2	44575611	44575671	2	2
5q31.3_01	5	139292737	139292779	2	2
5q31.3_02	5	139418905	139418951	2	2
5q31.3_03	5	139511585	139511632	2	2
6p22-p24-01	6	16843304	16843350	2	2
6p22-p24-02	6	17036056	17036105	2	2
6p22-p24-03	6	17401858	17401911	2	2
6p22-p24-04	6	17409867	17409916	2	2
6q16-01	6	100882067	100882109	2	2
6q16-02	6	100843260	100843309	2	2
6q16-03	6	100927202	100927247	2	2
C01.001A	1	864330	864373	2	2
C01.002A	1	958910	960100	2	2
C01.003A	1	1087276	1087319	2	2
C01.004A	1	1270961	1271081	2	2
C01.005A	1	1333543	1334587	2	2
C01.006A	1	1860755	1860794	2	2
C01.007A	1	2394326	2394623	2	2
C01.008A	1	3098722	3098765	2	2
C01.009B	1	7913510	7913554	2	2
C01.010B	1	7972115	7972161	2	2
C01.011B	1	8037222	8037267	2	2
C01.012B	1	8114679	8114728	2	2
C01.013A	1	8916522	8916568	2	2
C01.014B	1	9370002	9370044	2	2
C01.015A	1	10511459	10511502	2	2
C01.016B	1	11140830	11140872	2	2
C01.017A	1	11186781	11186822	2	2
C01.018A	1	11217288	11217329	2	2
C01.019A	1	11254016	11254510	2	2
C01.020A	1	11288796	11288840	2	2
C01.021A	1	11709300	11709530	2	2
C01.022A	1	12202839	12202881	2	2
C01.023B	1	15639638	15639682	2	2
C01.024B	1	16043211	16043254	2	2
C01.025B	1	16199350	16199393	2	2
C01.026B	1	16330730	16330774	2	2
C01.027B	1	16641805	16641848	2	2
C01.029B	1	31819512	31819557	2	2
C01.030B	1	32257914	32257957	2	2
C01.031B	1	32541295	32541339	2	2
C01.032B	1	32834062	32834107	2	2
C01.033B	1	40997268	40997311	2	2
C01.034B	1	41159001	41159043	2	2
C01.035B	1	41241983	41242025	2	2
C01.036B	1	41326957	41327000	2	2
C01.037B	1	41750874	41750917	2	2
C01.038B	1	62971413	62971461	2	2
C01.039B	1	64563459	64563508	2	2
C01.040B	1	64609154	64609199	2	2
C01.041B	1	64696177	64696221	2	2
C01.042B	1	67450508	67450557	2	2
C01.043B	1	104868136	104868185	2	2
C01.044B	1	105524577	105524622	2	2
C01.045B	1	106497824	106497873	2	2
C01.046B	1	107045754	107045800	2	2
C01.047B	1	107866903	107866947	2	2
C01.048A	1	120471007	120471056	2	2
C01.049A	1	145438511	145438556	2	2
C01.050A	1	145507271	145507710	2	2
C01.051A	1	145513338	145513384	2	2
C01.052A	1	145556637	145556683	2	2
C01.053A	1	145630220	145630268	2	2
C01.054A	1	145695995	145696041	2	2
C01.055A	1	145747034	145747082	2	2
C01.056A	1	146627509	146627556	2	2
C01.057B	1	146696498	146696542	2	2
C01.058B	1	146807483	146807530	2	2
C01.059A	1	146942337	146942382	2	2
C01.060B	1	147083422	147083462	2	2
C01.061A	1	147120072	147120120	2	2
C01.062A	1	147213014	147213059	2	2
C01.063A	1	147293812	147293857	2	2
C01.064A	1	147363445	147363489	2	2
C01.065B	1	150082605	150082654	2	2
C01.066B	1	153974305	153974350	2	2
C01.067B	1	165322330	165322373	2	2
C01.068B	1	166732607	166732651	2	2
C01.069B	1	166786778	166786825	2	2
C01.070B	1	166845585	166845626	2	2
C01.071B	1	167218261	167218308	2	2
C01.072B	1	226055632	226055676	2	2
C01.073B	1	226751005	226751047	2	2
C01.074B	1	227181076	227181119	2	2
C01.075B	1	227602284	227602330	2	2
C01.076B	1	228334226	228334266	2	2
C01.077B	1	238535910	238535958	2	2
C01.078B	1	238577031	238577073	2	2
C01.079B	1	238698479	238698525	2	2
C01.080B	1	238816971	238817022	2	2
C01.081B	1	239360010	239360059	2	2
C01.082A	1	243782460	243782508	2	2
C01.083A	1	244231937	244232600	2	2
C01.084A	1	244780932	244780979	2	2
C01.085A	1	245028377	245028419	2	2
C01.086A	1	245159866	245159915	2	2
C01.087A	1	245346873	245346920	2	2
C01.088A	1	245636709	245636752	2	2
C01.089A	1	245777810	245777855	2	2
C01.090A	1	246625667	246625710	2	2
C01.091B	1	246739575	246739619	2	2
C01.092B	1	247293650	247293702	2	2
C01.093A	1	247491190	247491232	2	2
C01.094B	1	248051427	248051475	2	2
C01.095A	1	248260645	248261145	2	2
C01.096B	1	248567563	248567610	2	2
C02.001A	2	39116	39158	2	2
C02.002A	2	229992	230038	2	2
C02.003A	2	339675	339720	2	2
C02.004A	2	495035	495082	2	2
C02.005A	2	855239	855887	2	2
C02.006A	2	1227248	1227287	2	2
C02.007A	2	2067258	2067301	2	2
C02.008B	2	4662722	4662770	2	2
C02.009B	2	7179772	7179812	2	2
C02.010B	2	10271339	10271385	2	2
C02.011B	2	14774100	14774143	2	2
C02.013B	2	41366899	41366943	2	2
C02.014B	2	42020097	42020145	2	2
C02.015B	2	42950055	42950101	2	2
C02.016B	2	43575827	43575872	2	2
C02.017B	2	44396657	44396701	2	2
C02.018A	2	50826864	50826911	2	2
C02.019A	2	50850451	50850493	2	2
C02.020A	2	50860593	50860639	2	2
C02.021A	2	50868494	50868537	2	2
C02.022A	2	50890455	50890504	2	2
C02.023A	2	50914953	50914998	2	2
C02.024A	2	50947056	50947104	2	2
C02.025A	2	51113492	51113538	2	2
C02.026A	2	51173573	51173621	2	2
C02.027A	2	51195300	51195348	2	2
C02.028A	2	51208046	51208092	2	2
C02.029A	2	51217938	51217985	2	2
C02.030A	2	59617975	59618018	2	2
C02.031A	2	59971197	59971241	2	2
C02.032A	2	60386223	60386268	2	2
C02.033A	2	60995912	60995960	2	2
C02.034A	2	61708372	61708421	2	2
C02.035A	2	62280815	62280862	2	2
C02.036B	2	64860709	64860753	2	2
C02.037B	2	68765234	68765280	2	2
C02.038B	2	73482355	73482394	2	2
C02.039B	2	80529344	80529386	2	2
C02.040A	2	84957329	84957373	2	2
C02.041B	2	96754320	96754368	2	2
C02.042B	2	97130678	97130724	2	2
C02.043B	2	97529420	97529463	2	2
C02.044A	2	110873495	110873536	2	2
C02.045A	2	110907758	110907800	2	2
C02.046A	2	110932071	110932122	2	2
C02.047A	2	110954930	110954977	2	2
C02.048B	2	123135383	123135430	2	2
C02.049B	2	124783222	124783266	2	2
C02.050B	2	126049099	126049147	2	2
C02.051B	2	127267305	127267348	2	2
C02.052B	2	128520474	128520521	2	2
C02.053B	2	144108965	144109009	2	2
C02.054B	2	145021967	145022013	2	2
C02.055B	2	145086407	145086450	2	2
C02.056B	2	145201372	145201419	2	2
C02.057A	2	148778576	148778615	2	2
C02.058B	2	148934888	148934933	2	2
C02.059B	2	148944527	148944578	2	2
C02.060B	2	148953565	148953613	2	2
C02.061A	2	149031422	149031471	2	2
C02.062A	2	149215997	149216040	2	2
C02.063A	2	149829850	149829894	2	2
C02.064A	2	150170703	150171543	2	2
C02.065A	2	151903369	151903417	2	2
C02.066B	2	155308914	155308963	2	2
C02.067B	2	157181689	157181735	2	2
C02.068B	2	174633840	174633889	2	2
C02.069B	2	174938888	174938933	2	2
C02.070B	2	175711749	175711794	2	2
C02.071B	2	176126799	176126847	2	2
C02.072B	2	176679956	176679999	2	2
C02.073B	2	183387515	183387560	2	2
C02.074B	2	186896862	186896906	2	2
C02.075B	2	186966293	186966342	2	2
C02.076B	2	187031445	187031487	2	2
C02.077B	2	189156496	189156538	2	2
C02.078B	2	196709827	196709874	2	2
C02.079A	2	197122574	197122617	2	2
C02.080B	2	198262706	198262751	2	2
C02.081B	2	200173564	200173606	2	2
C02.082B	2	200246944	200246989	2	2
C02.083B	2	200255475	200255521	2	2
C02.084B	2	200265672	200265718	2	2
C02.085B	2	200298113	200298155	2	2
C02.086A	2	201342677	201342725	2	2
C02.087A	2	202485634	202485678	2	2
C02.088A	2	204031971	204032020	2	2
C02.089A	2	207651565	207651614	2	2
C02.090A	2	210794641	210794687	2	2
C02.091B	2	223807867	223807913	2	2
C02.092B	2	224549181	224549228	2	2
C02.093B	2	224647908	224647952	2	2
C02.094B	2	224840108	224840156	2	2
C02.095B	2	225147241	225147284	2	2
C02.096B	2	231050489	231050533	2	2
C02.097B	2	232839856	232839898	2	2
C02.098B	2	233103271	233103319	2	2
C02.099B	2	233386258	233386306	2	2
C02.100B	2	234681497	234681538	2	2
C02.101A	2	237246847	237246895	2	2
C02.102A	2	238831466	238832400	2	2
C02.103A	2	239938854	239938899	2	2
C02.104A	2	239969913	239969962	2	2
C02.105A	2	240153818	240153860	2	2
C02.106A	2	240264580	240264620	2	2
C02.107A	2	241570489	241570531	2	2
C02.108A	2	241653215	241653258	2	2
C02.109A	2	241979494	241979536	2	2
C02.110A	2	242194474	242194517	2	2
C02.111A	2	242219833	242219881	2	2
C02.112A	2	242257663	242257705	2	2
C02.113A	2	242316629	242316673	2	2
C02.114A	2	242608236	242608279	2	2
C03.001A	3	672926	672975	2	2
C03.002A	3	1443174	1443223	2	2
C03.003A	3	2142263	2142306	2	2
C03.004A	3	3044255	3044300	2	2
C03.005A	3	3103942	3103991	2	2
C03.006A	3	3192261	3192310	2	2
C03.007A	3	3300494	3301450	2	2
C03.008A	3	3886104	3886152	2	2
C03.009A	3	4536153	4536192	2	2
C03.010A	3	5163971	5164011	2	2
C03.011A	3	6258014	6258063	2	2
C03.012B	3	10018655	10018704	2	2
C03.013B	3	10053260	10053301	2	2
C03.014B	3	10145880	10145924	2	2
C03.015B	3	10212114	10212166	2	2
C03.016B	3	10397343	10397387	2	2
C03.017B	3	11583030	11583072	2	2
C03.018B	3	12196420	12196463	2	2
C03.019B	3	14178882	14178923	2	2
C03.020B	3	16254081	16254124	2	2
C03.021B	3	17782174	17782218	2	2
C03.022A	3	90195602	90195651	2	2
C03.023A	3	93577150	93577194	2	2
C03.024A	3	101038520	101038566	2	2
C03.025A	3	105621012	105621059	2	2
C03.026A	3	109435691	109435733	2	2
C03.027A	3	112335564	112335609	2	2
C03.028A	3	113060678	113060727	2	2
C03.029A	3	113658791	113658835	2	2
C03.030A	3	114342961	114343008	2	2
C03.031A	3	114870876	114870920	2	2
C03.032B	3	121448776	121448820	2	2
C03.033B	3	121647843	121647889	2	2
C03.034B	3	121903280	121903322	2	2
C03.035B	3	122143503	122143552	2	2
C03.036B	3	122808096	122808144	2	2
C03.037B	3	137893572	137893611	2	2
C03.038B	3	138117343	138117387	2	2
C03.039B	3	138410072	138410120	2	2
C03.040B	3	138478137	138478184	2	2
C03.041B	3	138609715	138609763	2	2
C03.042A	3	178543448	178543493	2	2
C03.043A	3	182554171	182554216	2	2
C03.044A	3	187388155	187388196	2	2
C03.045B	3	187495270	187495315	2	2
C03.046B	3	188136831	188136880	2	2
C03.047B	3	188643044	188643091	2	2
C03.048B	3	189320451	189320494	2	2
C03.049B	3	190262378	190262422	2	2
C03.050A	3	195923166	195923362	2	2
C03.051A	3	196230175	196230219	2	2
C03.052A	3	196657793	196657839	2	2
C03.053A	3	197299885	197299933	2	2
C04.001B	4	101768	101817	2	2
C04.002A	4	279450	279499	2	2
C04.003A	4	629504	629546	2	2
C04.004A	4	1318740	1318786	2	2
C04.005B	4	1513164	1513203	2	2
C04.006B	4	1718520	1718563	2	2
C04.007A	4	1875104	1875304	2	2
C04.008A	4	1932373	1932418	2	2
C04.009A	4	1957875	1957921	2	2
C04.010A	4	2513414	2513457	2	2
C04.011A	4	3484994	3485033	2	2
C04.012A	4	4387831	4388331	2	2
C04.013A	4	6711370	6711412	2	2
C04.014A	4	8318083	8318125	2	2
C04.015A	4	12031878	12031926	2	2
